파일                                                                             추가   삭제
--------------------------------------------------------------------------------     ----     ----
__main__.py                                                                            17       17
_bootstrap.py                                                                         231      227
_utils/__init__.py                                                                      5        5
_utils/debug.py                                                                        89      221
_utils/format.py                                                                       22       21
_utils/geometry.py                                                                     29       28
analysis/__init__.py                                                                    9        4
analysis/_utils.py                                                                      9        9
analysis/constants.py                                                                  40       40
analysis/drift_check.py                                                          내전용        -
analysis/load_calculator.py                                                           792      820
analysis/member_roles.py                                                         내전용        -
analysis/model_provider.py                                                       내전용        -
analysis/model_spec.py                                                                418      416
analysis/ops_builder.py                                                                15       20
analysis/ops_solver.py                                                                  8       62
analysis/projection.py                                                                175      166
analysis/quantity_by_component.py                                                내전용        -
analysis/quantity_design.py                                                           292      223
analysis/quantity_takeoff.py                                                          355      355
analysis/room_loads.py                                                                142      137
analysis/section_catalog.py                                                            26       26
analysis/section_converge.py                                                          627      653
analysis/spatial_matcher.py                                                           106      106
analysis/strength_check.py                                                            241      241
analysis/tests/perf_probe.py                                                     내전용        -
analysis/tests/prof_loads.py                                                     내전용        -
analysis/tests/regression_solve.py                                               내전용        -
analysis/tests/test_golden_starter.py                                            내전용        -
analysis/tests/test_joint_override.py                                                 540      540
analysis/tests/test_room_loads.py                                                      68       68
analysis/topology.py                                                                    8       10
evaluation/__init__.py                                                                  3        3
evaluation/evaluation_adapter.py                                                      117        7
evaluation/tests/test_evaluation_adapter.py                                           247      247
io/__init__.py                                                                          7        7
model/core.py                                                                           2        4
model/definition_library.py                                                           140      137
model/definition_place.py                                                              26       24
model/joint_override.py                                                               152      152
model/multi_floor.py                                                                  400      400
model/room.py                                                                         104      100
model/type_naming.py                                                                  288      325
render/mesh_builder.py                                                                551      563
render/opening_mesh.py                                                                333      329
render/room_mesh.py                                                                   105      105
render/section_apply.py                                                          내전용        -
render/snap.py                                                                        134      134
render/three_assets.py                                                           내전용        -
render/viewer.py                                                                        6       35
render/viewer_strangler.py                                                            105      101
render/viewer_three.py                                                                251      222
schedule/__init__.py                                                                    3        3
schedule/schedule_adapter.py                                                            1        6
schedule/tests/test_schedule_adapter.py                                               144      141
transport/__init__.py                                                                  22        9
transport/cache.py                                                                    289      285
transport/catalog_io.py                                                               125      123
transport/collision.py                                                                155      155
transport/economics.py                                                                234      229
transport/limits.py                                                                    98       94
transport/loaded_3d_three.py                                                          156      250
transport/models.py                                                                     0        6
transport/packer.py                                                                     1        1
transport/packer_balance.py                                                           234      227
transport/packer_bb.py                                                               1252     1237
transport/packer_core.py                                                             1318     1309
transport/packer_local_search.py                                                      436      430
transport/packer_meta.py                                                                4        6
transport/packer_safety.py                                                            476      469
transport/packer_types.py                                                              88       85
transport/tests/test_adapter.py                                                       324      324
transport/tests/test_adapter_normalize.py                                             194      187
transport/tests/test_cache.py                                                         195      195
transport/tests/test_catalog_io.py                                                    104       97
transport/tests/test_collision.py                                                     127      123
transport/tests/test_economics.py                                                     134      130
transport/tests/test_integration.py                                                    98       98
transport/tests/test_limits.py                                                        137      131
transport/tests/test_loaded_3d_three.py                                               216      213
transport/tests/test_models.py                                                        177      170
transport/tests/test_packer.py                                                        275      266
transport/tests/test_packer_balance.py                                                191      186
transport/tests/test_packer_core.py                                                   573      564
transport/tests/test_packer_local_search.py                                           301      297
transport/tests/test_packer_meta.py                                                   321      315
transport/tests/test_packer_types_safety.py                                           210      204
transport/tests/test_run_validation.py                                                 57       54
transport/tests/test_transport_panel.py                                               121      118
transport/tests/test_transport_v2_fixtures.py                                         182      177
transport/tests/test_visualizer.py                                                    127      123
transport/tests/test_visualizer_3d.py                                                 359      353
transport/tests/test_wall_classifier.py                                               115      115
transport/tests/transport_v2_fixtures.py                                              312      304
transport/visualizer.py                                                               936      930
transport/wall_classifier.py                                                          257      257
ui/alignment/alignment_dock_three.py                                                  142      139
ui/alignment/alignment_helpers.py                                                     236      234
ui/alignment/alignment_view.py                                                          2        4
ui/alignment/alignment_view_three.py                                                  138      135
ui/analysis_panel.py                                                                   95       80
ui/compare_panel.py                                                                   605      636
ui/controls/controls_f5.py                                                              3       33
ui/controls/controls_f6.py                                                              5       13
ui/controls_geom.py                                                                   128      126
ui/design_props_panel.py                                                              151      149
ui/evaluation_panel.py                                                                346      216
ui/joint_edit_panel.py                                                                317      318
ui/main_3d.py                                                                         407      351
ui/main_3d_joint.py                                                                     1        6
ui/member_info_popup.py                                                               383      383
ui/opening_dialog.py                                                                   53       51
ui/palette_panel.py                                                                   156      151
ui/project_settings.py                                                                612      308
ui/quantity_panel.py                                                             내전용        -
ui/room_dialog.py                                                                      64       62
ui/room_props_panel.py                                                                149      146
ui/schedule_panel.py                                                                  236      230
ui/section_design_panel.py                                                            330      350
ui/transport_catalog_dialog.py                                                        390      387
ui/transport_panel.py                                                                 425      131
ui/transport_references_dialog.py                                                      97       94
ui/ui_panel.py                                                                        297      297
카탈로그/__init__.py                                                               25       19
카탈로그/geometry.py                                                               60       56
카탈로그/h_sections.py                                                            143      138
카탈로그/loads.py                                                                  16       16
카탈로그/material_prices.py                                                        39       36
카탈로그/rigid.py                                                                  14       14
카탈로그/room_types.py                                                             80       73
카탈로그/steel_sections.py                                                        115      115
카탈로그/tolerances.py                                                             51       47
ui/fonts.py                                                                      팀원전용        -
ui/home_panel.py                                                                 팀원전용        -
ui/section_viewer.py                                                             팀원전용        -
