파일                                                                             추가   삭제
--------------------------------------------------------------------------------     ----     ----
_utils/debug.py                                                                        25      157
analysis/drift_check.py                                                          내전용        -
analysis/load_calculator.py                                                            25       53
analysis/member_roles.py                                                         내전용        -
analysis/model_provider.py                                                       내전용        -
analysis/ops_builder.py                                                                15       20
analysis/ops_solver.py                                                                  8       62
analysis/quantity_by_component.py                                                내전용        -
analysis/section_converge.py                                                            8       34
analysis/tests/perf_probe.py                                                     내전용        -
analysis/tests/prof_loads.py                                                     내전용        -
analysis/tests/regression_solve.py                                               내전용        -
analysis/tests/test_golden_starter.py                                            내전용        -
analysis/topology.py                                                                    8       10
evaluation/evaluation_adapter.py                                                      117        7
model/core.py                                                                           2        4
model/type_naming.py                                                                    1       42
render/mesh_builder.py                                                                  8       20
render/room_mesh.py                                                                     3        5
render/section_apply.py                                                          내전용        -
render/three_assets.py                                                           내전용        -
render/viewer.py                                                                        6       35
render/viewer_strangler.py                                                              1        2
render/viewer_three.py                                                                 28        5
schedule/schedule_adapter.py                                                            1        6
transport/loaded_3d_three.py                                                          156      250
transport/models.py                                                                     0        6
transport/packer.py                                                                     1        1
transport/packer_core.py                                                               13       14
transport/packer_local_search.py                                                        5        6
transport/packer_meta.py                                                                4        6
ui/alignment/alignment_dock_three.py                                                    1        2
ui/alignment/alignment_view.py                                                          2        4
ui/alignment/alignment_view_three.py                                                    1        5
ui/analysis_panel.py                                                                   95       80
ui/compare_panel.py                                                                   605      636
ui/controls/controls_f5.py                                                              3       33
ui/controls/controls_f6.py                                                              5       13
ui/evaluation_panel.py                                                                346      216
ui/joint_edit_panel.py                                                                  4        5
ui/main_3d.py                                                                         407      351
ui/main_3d_joint.py                                                                     1        6
ui/project_settings.py                                                                305        6
ui/quantity_panel.py                                                             내전용        -
ui/section_design_panel.py                                                              6       30
ui/transport_panel.py                                                                 425      131
ui/fonts.py                                                                      팀원전용        -
ui/home_panel.py                                                                 팀원전용        -
ui/section_viewer.py                                                             팀원전용        -
