case,drift_%,base_shear_kN
center,0.0000,0.0000
center,0.0100,10.9309
center,0.0200,21.8203
center,0.0300,32.6660
center,0.0400,43.4647
center,0.0500,54.1343
center,0.0600,63.3636
center,0.0700,71.2703
center,0.0800,77.6930
center,0.0900,83.3683
center,0.1000,88.6528
center,0.1100,93.1978
center,0.1200,97.2853
center,0.1300,101.1272
center,0.1400,104.6810
center,0.1500,108.1171
center,0.1600,111.4791
center,0.1700,114.6202
center,0.1800,117.7517
center,0.1900,120.8419
center,0.2000,123.8089
center,0.2100,126.5795
center,0.2200,129.2812
center,0.2300,131.9515
center,0.2400,134.4504
center,0.2500,136.8630
center,0.2600,139.1867
center,0.2700,141.2261
center,0.2800,142.7962
center,0.2900,143.8112
center,0.3000,144.5944
center,0.3100,145.4898
center,0.3200,146.6344
center,0.3300,147.7471
center,0.3400,148.8026
center,0.3500,149.7931
center,0.3600,150.7221
center,0.3700,151.6533
center,0.3800,152.5495
center,0.3900,153.3094
center,0.4000,153.9911
center,0.4100,154.5906
center,0.4200,155.2658
center,0.4300,155.7252
center,0.4400,155.9874
center,0.4500,156.2158
center,0.4600,156.3772
center,0.4700,156.4892
center,0.4800,156.7385
center,0.4900,157.0905
center,0.5000,157.4409
center,0.5100,157.7898
center,0.5200,158.1370
center,0.5300,158.4825
center,0.5400,158.8260
center,0.5500,159.1675
center,0.5600,159.5070
center,0.5700,159.8447
center,0.5800,160.1806
center,0.5900,160.5148
center,0.6000,160.8473
center,0.6100,161.1778
center,0.6200,161.4962
center,0.6300,161.7935
center,0.6400,162.0867
center,0.6500,162.3724
center,0.6600,162.6620
center,0.6700,162.9718
center,0.6800,163.2503
center,0.6900,163.4434
center,0.7000,163.6291
center,0.7100,163.8098
center,0.7200,164.0326
center,0.7300,164.2834
center,0.7400,164.5287
center,0.7500,164.7676
center,0.7600,165.0084
center,0.7700,165.2456
center,0.7800,165.4789
center,0.7900,165.7086
center,0.8000,165.9359
center,0.8100,166.1613
center,0.8200,166.3294
center,0.8300,166.4917
center,0.8400,166.6517
center,0.8500,166.8057
center,0.8600,166.9471
center,0.8700,167.0674
center,0.8800,167.1661
center,0.8900,167.2527
center,0.9000,167.4378
center,0.9100,167.6233
center,0.9200,167.8086
center,0.9300,167.9938
center,0.9400,168.1788
center,0.9500,168.3639
center,0.9600,168.5488
center,0.9700,168.7336
center,0.9800,168.9182
center,0.9900,169.1027
center,1.0000,169.2871
center,1.0100,169.4713
center,1.0200,169.6553
center,1.0300,169.8391
center,1.0400,170.0227
center,1.0500,170.2060
center,1.0600,170.3892
center,1.0700,170.5721
center,1.0800,170.7547
center,1.0900,170.9371
center,1.1000,171.1193
center,1.1100,171.3013
center,1.1200,171.4831
center,1.1300,171.6647
center,1.1400,171.8460
center,1.1500,172.0272
center,1.1600,172.2082
center,1.1700,172.3890
center,1.1800,172.5636
center,1.1900,172.7324
center,1.2000,172.9009
center,1.2100,173.0690
center,1.2200,173.2366
center,1.2300,173.4040
center,1.2400,173.5738
center,1.2500,173.7443
center,1.2600,173.9251
center,1.2700,174.1049
center,1.2800,174.2837
center,1.2900,174.4444
center,1.3000,174.5800
center,1.3100,174.7120
center,1.3200,174.8421
center,1.3300,174.9710
center,1.3400,175.0989
center,1.3500,175.2538
center,1.3600,175.4134
center,1.3700,175.5752
center,1.3800,175.7366
center,1.3900,175.8975
center,1.4000,176.0581
center,1.4100,176.2182
center,1.4200,176.3779
center,1.4300,176.5371
center,1.4400,176.6958
center,1.4500,176.8538
center,1.4600,177.0114
center,1.4700,177.1691
center,1.4800,177.3259
center,1.4900,177.4817
center,1.5000,177.6364
center,1.5100,177.7898
center,1.5200,177.9434
center,1.5300,178.0974
center,1.5400,178.2506
center,1.5500,178.4029
center,1.5600,178.5264
center,1.5700,178.6440
center,1.5800,178.7608
center,1.5900,178.8764
center,1.6000,178.9903
center,1.6100,179.1012
center,1.6200,179.2073
center,1.6300,179.3058
center,1.6400,179.3944
center,1.6500,179.4743
center,1.6600,179.5506
center,1.6700,179.6825
center,1.6800,179.8151
center,1.6900,179.9477
center,1.7000,180.0803
center,1.7100,180.2127
center,1.7200,180.3452
center,1.7300,180.4776
center,1.7400,180.6100
center,1.7500,180.7424
center,1.7600,180.8747
center,1.7700,181.0071
center,1.7800,181.1394
center,1.7900,181.2716
center,1.8000,181.4039
center,1.8100,181.5361
center,1.8200,181.6683
center,1.8300,181.8005
center,1.8400,181.9326
center,1.8500,182.0647
center,1.8600,182.1968
center,1.8700,182.3288
center,1.8800,182.4608
center,1.8900,182.5927
center,1.9000,182.7246
center,1.9100,182.8565
center,1.9200,182.9883
center,1.9300,183.1199
center,1.9400,183.2514
center,1.9500,183.3828
center,1.9600,183.5140
center,1.9700,183.6452
center,1.9800,183.7763
center,1.9900,183.9074
center,2.0000,184.0383
center,2.0100,184.1692
center,2.0200,184.3001
center,2.0300,184.4309
center,2.0400,184.5616
center,2.0500,184.6922
center,2.0600,184.8228
