상부변위_mm,drift_%,밑면전단_kN
0.0000,0.0000,0.0000
0.3660,0.0100,10.9309
0.7320,0.0200,21.8203
1.0980,0.0300,32.6660
1.4640,0.0400,43.4647
1.8300,0.0500,54.1343
2.1960,0.0600,63.3636
2.5620,0.0700,71.2703
2.9280,0.0800,77.6930
3.2940,0.0900,83.3683
3.6600,0.1000,88.6528
4.0260,0.1100,93.1978
4.3920,0.1200,97.2853
4.7580,0.1300,101.1272
5.1240,0.1400,104.6810
5.4900,0.1500,108.1171
5.8560,0.1600,111.4791
6.2220,0.1700,114.6202
6.5880,0.1800,117.7517
6.9540,0.1900,120.8419
7.3200,0.2000,123.8089
7.6860,0.2100,126.5795
8.0520,0.2200,129.2812
8.4180,0.2300,131.9515
8.7840,0.2400,134.4504
9.1500,0.2500,136.8630
9.5160,0.2600,139.1867
9.8820,0.2700,141.2261
10.2480,0.2800,142.7962
10.6140,0.2900,143.8112
10.9800,0.3000,144.5944
11.3460,0.3100,145.4898
11.7120,0.3200,146.6344
12.0780,0.3300,147.7471
12.4440,0.3400,148.8026
12.8100,0.3500,149.7931
13.1760,0.3600,150.7221
13.5420,0.3700,151.6533
13.9080,0.3800,152.5495
14.2740,0.3900,153.3094
14.6400,0.4000,153.9911
15.0060,0.4100,154.5906
15.3720,0.4200,155.2658
15.7380,0.4300,155.7252
16.1040,0.4400,155.9874
16.4700,0.4500,156.2158
16.8360,0.4600,156.3772
17.2020,0.4700,156.4892
17.5680,0.4800,156.7385
17.9340,0.4900,157.0905
18.3000,0.5000,157.4409
18.6660,0.5100,157.7898
19.0320,0.5200,158.1370
19.3980,0.5300,158.4825
19.7640,0.5400,158.8260
20.1300,0.5500,159.1675
20.4960,0.5600,159.5070
20.8620,0.5700,159.8447
21.2280,0.5800,160.1806
21.5940,0.5900,160.5148
21.9600,0.6000,160.8473
22.3260,0.6100,161.1778
22.6920,0.6200,161.4962
23.0580,0.6300,161.7935
23.4240,0.6400,162.0867
23.7900,0.6500,162.3724
24.1560,0.6600,162.6620
24.5220,0.6700,162.9718
24.8880,0.6800,163.2503
25.2540,0.6900,163.4434
25.6200,0.7000,163.6291
25.9860,0.7100,163.8098
26.3520,0.7200,164.0326
26.7180,0.7300,164.2834
27.0840,0.7400,164.5287
27.4500,0.7500,164.7676
27.8160,0.7600,165.0084
28.1820,0.7700,165.2456
28.5480,0.7800,165.4789
28.9140,0.7900,165.7086
29.2800,0.8000,165.9359
29.6460,0.8100,166.1613
30.0120,0.8200,166.3294
30.3780,0.8300,166.4917
30.7440,0.8400,166.6517
31.1100,0.8500,166.8057
31.4760,0.8600,166.9471
31.8420,0.8700,167.0674
32.2080,0.8800,167.1661
32.5740,0.8900,167.2527
32.9400,0.9000,167.4378
33.3060,0.9100,167.6233
33.6720,0.9200,167.8086
34.0380,0.9300,167.9938
34.4040,0.9400,168.1788
34.7700,0.9500,168.3639
35.1360,0.9600,168.5488
35.5020,0.9700,168.7336
35.8680,0.9800,168.9182
36.2340,0.9900,169.1027
36.6000,1.0000,169.2871
36.9660,1.0100,169.4713
37.3320,1.0200,169.6553
37.6980,1.0300,169.8391
38.0640,1.0400,170.0227
38.4300,1.0500,170.2060
38.7960,1.0600,170.3892
39.1620,1.0700,170.5721
39.5280,1.0800,170.7547
39.8940,1.0900,170.9371
40.2600,1.1000,171.1193
40.6260,1.1100,171.3013
40.9920,1.1200,171.4831
41.3580,1.1300,171.6647
41.7240,1.1400,171.8460
42.0900,1.1500,172.0272
42.4560,1.1600,172.2082
42.8220,1.1700,172.3890
43.1880,1.1800,172.5636
43.5540,1.1900,172.7324
43.9200,1.2000,172.9009
44.2860,1.2100,173.0690
44.6520,1.2200,173.2366
45.0180,1.2300,173.4040
45.3840,1.2400,173.5738
45.7500,1.2500,173.7443
46.1160,1.2600,173.9251
46.4820,1.2700,174.1049
46.8480,1.2800,174.2837
47.2140,1.2900,174.4444
47.5800,1.3000,174.5800
47.9460,1.3100,174.7120
48.3120,1.3200,174.8421
48.6780,1.3300,174.9710
49.0440,1.3400,175.0989
49.4100,1.3500,175.2538
49.7760,1.3600,175.4134
50.1420,1.3700,175.5752
50.5080,1.3800,175.7366
50.8740,1.3900,175.8975
51.2400,1.4000,176.0581
51.6060,1.4100,176.2182
51.9720,1.4200,176.3779
52.3380,1.4300,176.5371
52.7040,1.4400,176.6958
53.0700,1.4500,176.8538
53.4360,1.4600,177.0114
53.8020,1.4700,177.1691
54.1680,1.4800,177.3259
54.5340,1.4900,177.4817
54.9000,1.5000,177.6364
55.2660,1.5100,177.7898
55.6320,1.5200,177.9434
55.9980,1.5300,178.0974
56.3640,1.5400,178.2506
56.7300,1.5500,178.4029
57.0960,1.5600,178.5264
57.4620,1.5700,178.6440
57.8280,1.5800,178.7608
58.1940,1.5900,178.8764
58.5600,1.6000,178.9903
58.9260,1.6100,179.1012
59.2920,1.6200,179.2073
59.6580,1.6300,179.3058
60.0240,1.6400,179.3944
60.3900,1.6500,179.4743
60.7560,1.6600,179.5506
61.1220,1.6700,179.6825
61.4880,1.6800,179.8151
61.8540,1.6900,179.9477
62.2200,1.7000,180.0803
62.5860,1.7100,180.2127
62.9520,1.7200,180.3452
63.3180,1.7300,180.4776
63.6840,1.7400,180.6100
64.0500,1.7500,180.7424
64.4160,1.7600,180.8747
64.7820,1.7700,181.0071
65.1480,1.7800,181.1394
65.5140,1.7900,181.2716
65.8800,1.8000,181.4039
66.2460,1.8100,181.5361
66.6120,1.8200,181.6683
66.9780,1.8300,181.8005
67.3440,1.8400,181.9326
67.7100,1.8500,182.0647
68.0760,1.8600,182.1968
68.4420,1.8700,182.3288
68.8080,1.8800,182.4608
69.1740,1.8900,182.5927
69.5400,1.9000,182.7246
69.9060,1.9100,182.8565
70.2720,1.9200,182.9883
70.6380,1.9300,183.1199
71.0040,1.9400,183.2514
71.3700,1.9500,183.3828
71.7360,1.9600,183.5140
72.1020,1.9700,183.6452
72.4680,1.9800,183.7763
72.8340,1.9900,183.9074
73.2000,2.0000,184.0383
73.5660,2.0100,184.1692
73.9320,2.0200,184.3001
74.2980,2.0300,184.4309
74.6640,2.0400,184.5616
75.0300,2.0500,184.6922
75.3960,2.0600,184.8228
75.7620,2.0700,184.9532
76.1280,2.0800,185.0836
76.4940,2.0900,185.2116
76.8600,2.1000,185.3365
77.2260,2.1100,185.4613
77.5920,2.1200,185.5860
77.9580,2.1300,185.7106
78.3240,2.1400,185.8351
78.6900,2.1500,185.9594
79.0560,2.1600,186.0835
79.4220,2.1700,186.2074
79.7880,2.1800,186.3310
80.1540,2.1900,186.4543
80.5200,2.2000,186.5814
80.8860,2.2100,186.7100
81.2520,2.2200,186.8383
81.6180,2.2300,186.9664
81.9840,2.2400,187.0943
82.3500,2.2500,187.2204
82.7160,2.2600,187.3298
83.0820,2.2700,187.4381
83.4480,2.2800,187.5455
83.8140,2.2900,187.6521
84.1800,2.3000,187.7582
84.5460,2.3100,187.8639
84.9120,2.3200,187.9693
85.2780,2.3300,188.0887
85.6440,2.3400,188.2106
86.0100,2.3500,188.3324
86.3760,2.3600,188.4531
86.7420,2.3700,188.5733
87.1080,2.3800,188.6933
87.4740,2.3900,188.8132
87.8400,2.4000,188.9330
88.2060,2.4100,189.0528
88.5720,2.4200,189.1729
88.9380,2.4300,189.2945
89.3040,2.4400,189.4162
89.6700,2.4500,189.5378
90.0360,2.4600,189.6592
90.4020,2.4700,189.7806
90.7680,2.4800,189.9018
91.1340,2.4900,190.0229
91.5000,2.5000,190.1439
